FewsId;par_oms;par_oms_nl;TaxonType;wns_code;wns_oms;wns_oms_ecolims;eenheid;eenheid_oms
BEDKG[%];Lotus corniculatus [1];Gewone rolklaver;MACFT;HDSR5111;MACFT_LOTUCORU[%][NVT][OR];Lotus corniculatus [1][%][NVT][OR];%;procent
BEDKG[%];Medicago sativa;Luzerne;MACFT;HDSR5112;MACFT_MEDISATI[%][NVT][OR];Medicago sativa[%][NVT][OR];%;procent
BEDKG[%];Myriophyllum;;MACFT;HDSR5113;MACFT_MYIO[%][NVT][OW];Myriophyllum[%][NVT][OW];%;procent
BEDKG[%];Myriophyllum alterniflorum;Teer vederkruid;MACFT;HDSR5114;MACFT_MYIOALTE[%][NVT][OW];Myriophyllum alterniflorum[%][NVT][OW];%;procent
BEDKG[%];Nuphar;;MACFT;HDSR5115;MACFT_NUPH[%][DRIJVD][OW];Nuphar[%][DRIJVD][OW];%;procent
BEDKG[%];Nuphar lutea;Gele plomp;MACFT;HDSR5116;MACFT_NUPHLUTE[%][EMS][OR];Nuphar lutea[%][EMS][OR];%;procent
BEDKG[%];Nuphar lutea;Gele plomp;MACFT;HDSR5117;MACFT_NUPHLUTE[%][EMS][OW];Nuphar lutea[%][EMS][OW];%;procent
BEDKG[%];Nymphaea alba;Witte waterlelie;MACFT;HDSR5118;MACFT_NYMPALBA[%][DRIJVD][OR];Nymphaea alba[%][DRIJVD][OR];%;procent
BEDKG[%];Nymphaea alba;Witte waterlelie;MACFT;HDSR5119;MACFT_NYMPALBA[%][SUBMS][OR];Nymphaea alba[%][SUBMS][OR];%;procent
BEDKG[%];Pedicularis palustris;Moeraskartelblad;MACFT;HDSR5120;MACFT_PEDIPALU[%][NVT][OR];Pedicularis palustris[%][NVT][OR];%;procent
BEDKG[%];Persicaria amphibia;Veenwortel;MACFT;HDSR5121;MACFT_PERSAMPH[%][DRIJVD][OW];Persicaria amphibia[%][DRIJVD][OW];%;procent
BEDKG[%];Persicaria amphibia;Veenwortel;MACFT;HDSR5122;MACFT_PERSAMPH[%][EMS][OR];Persicaria amphibia[%][EMS][OR];%;procent
BEDKG[%];Persicaria amphibia;Veenwortel;MACFT;HDSR5123;MACFT_PERSAMPH[%][EMS][OW];Persicaria amphibia[%][EMS][OW];%;procent
BEDKG[%];Petasites;;MACFT;HDSR5124;MACFT_PETA[%][NVT][OR];Petasites[%][NVT][OR];%;procent
BEDKG[%];Peucedanum palustre;Melkeppe;MACFT;HDSR5125;MACFT_PEUCPALU[%][DRIJVD][OR];Peucedanum palustre[%][DRIJVD][OR];%;procent
BEDKG[%];Phleum pratense ssp. pratense;Timoteegras;MACFT;HDSR5126;MACFT_PHLEPRPR[%][NVT][OR];Phleum pratense ssp. pratense[%][NVT][OR];%;procent
BEDKG[%];Plantago major ssp. major;Grote weegbree s.s.;MACFT;HDSR5127;MACFT_PLANMAMJ[%][NVT][OR];Plantago major ssp. major[%][NVT][OR];%;procent
BEDKG[%];Plantaginaceae;Weegbreefamilie;MACFT;HDSR5128;MACFT_PLNT[%][NVT][OR];Plantaginaceae[%][NVT][OR];%;procent
BEDKG[%];Poa;;MACFT;HDSR5129;MACFT_POA[%][NVT][OR];Poa[%][NVT][OR];%;procent
BEDKG[%];Poaceae;Grassenfamilie;MACFT;HDSR5130;MACFT_POAC[%][DRIJVD][OR];Poaceae[%][DRIJVD][OR];%;procent
BEDKG[%];Poaceae;Grassenfamilie;MACFT;HDSR5131;MACFT_POAC[%][NVT][OR];Poaceae[%][NVT][OR];%;procent
BEDKG[%];Primula vulgaris;Stengelloze sleutelbloem;MACFT;HDSR5132;MACFT_PRIMVULG[%][NVT][OR];Primula vulgaris[%][NVT][OR];%;procent
BEDKG[%];Prunus serotina;Amerikaanse vogelkers;MACFT;HDSR5133;MACFT_PRNUSERO[%][NVT][OR];Prunus serotina[%][NVT][OR];%;procent
BEDKG[%];Pyrus;;MACFT;HDSR5134;MACFT_PYRU[%][NVT][OR];Pyrus[%][NVT][OR];%;procent
BEDKG[%];Quercus;;MACFT;HDSR5135;MACFT_QUER[%][NVT][OR];Quercus[%][NVT][OR];%;procent
BEDKG[%];Ranunculus;;MACFT;HDSR5136;MACFT_RANC[%][NVT][OR];Ranunculus[%][NVT][OR];%;procent
BEDKG[%];Ribes;;MACFT;HDSR5137;MACFT_RIBE[%][NVT][OR];Ribes[%][NVT][OR];%;procent
BEDKG[%];Rorippa;;MACFT;HDSR5138;MACFT_RORI[%][NVT][OR];Rorippa[%][NVT][OR];%;procent
