fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
45;349;I10229.94;ISO 10229:1994 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
46;350;I10253.06;NEN-EN-ISO 10253:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
47;351;I10260.92;ISO 10260:1992 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
48;55;I10301.97;NEN-EN-ISO 10301:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
49;56;I10304-1.09;NEN-EN-ISO 10304-1:2009 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
50;354;I10304-1.95;NEN-EN-ISO 10304-1:1995 en;Norm vervallen;;6 december 2011 00:00:00;1 januari 2100 00:00:00
51;57;I10304-2.96;NEN-EN-ISO 10304-2:1996 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
52;58;I10304-3.97;NEN-EN-ISO 10304-3:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
53;357;I10304-4.99;NEN-EN-ISO 10304-4:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
54;358;I10359-1.92;ISO 10359-1:1992 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
55;359;I10359-2.94;ISO 10359-2:1994 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
56;360;I10381-2.02;ISO 10381-2:2002 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
57;361;I10382.02;ISO 10382:2002 en;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
58;219;I10382.03;NEN-ISO 10382:2003 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
59;208;I10390.05;NEN-ISO 10390:2005 en;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
60;252;I10523.08;NEN-ISO 10523:2008 en;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
61;365;I10523.12;NEN-EN-ISO 10523:2012 en;Norm water-fysisch;;22 juli 2014 00:00:00;1 januari 2100 00:00:00
62;366;I10523.94;ISO 10523:1994 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
63;367;I10530.92;ISO 10530:1992 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
64;368;I10566.94;ISO 10566:1994 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
65;228;I10693.04;NEN-ISO 10693:2004 en;Norm vervallen;;15 februari 2020 00:00:00;1 januari 2100 00:00:00
66;1044;I10693.14;NEN-EN-ISO 10693:2014 en;Norm bodem-chemisch;;15 februari 2020 00:00:00;1 januari 2100 00:00:00
67;370;I10694.95;ISO 10694:1995 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
