fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
1;3;GE-M;Geslacht-Man;Geslacht;13 december 2017 00:00:00;1 januari 2100 00:00:00
2;4;GE-V;Geslacht-Vrouw;Geslacht;13 december 2017 00:00:00;1 januari 2100 00:00:00
3;5;GE-X;Geslacht-Onbekend;Geslacht;13 december 2017 00:00:00;1 januari 2100 00:00:00
