fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
1;1;DOOD;dood;Gedrag;26 januari 2018 00:00:00;1 januari 2100 00:00:00
2;2;LEVD;Levend;Gedrag;26 januari 2018 00:00:00;1 januari 2100 00:00:00
