fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
1;62;VV-B;Verschijningsvorm-Behaard;Verschijningsvorm;13 december 2017 00:00:00;1 januari 2100 00:00:00
2;63;VV-G;Verschijningsvorm-Gepantserd;Verschijningsvorm;13 december 2017 00:00:00;1 januari 2100 00:00:00
3;64;VV-IM;Verschijningsvorm-Imposex;Verschijningsvorm;13 december 2017 00:00:00;1 januari 2100 00:00:00
4;65;VV-N;Verschijningsvorm-Naakt;Verschijningsvorm;13 december 2017 00:00:00;1 januari 2100 00:00:00
5;66;VV-OB;Verschijningsvorm-Olie besmeurd;Verschijningsvorm;13 december 2017 00:00:00;1 januari 2100 00:00:00
